Price,Open,High,Low,Close,Adj Close,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,Open,High,Low,Close,Adj Close,Volume
5/8/1980,0,108.0199966,105.5,106.1299973,106.1299973,39280000
5/9/1980,0,106.1999969,104.1800003,104.7200012,104.7200012,30280000
5/12/1980,0,105.4800034,103.5,104.7799988,104.7799988,28220000
5/13/1980,0,106.7600021,104.4400024,106.3000031,106.3000031,35460000
5/14/1980,0,107.8899994,106,106.8499985,106.8499985,40840000
5/15/1980,0,107.9899979,106.0699997,106.9899979,106.9899979,41120000
5/16/1980,0,107.8899994,106.25,107.3499985,107.3499985,31710000
5/19/1980,0,108.4300003,106.5100021,107.6699982,107.6699982,30970000
5/20/1980,0,108.3899994,106.75,107.6200027,107.6200027,31800000
5/21/1980,0,108.3099976,106.5400009,107.7200012,107.7200012,34830000
5/22/1980,0,109.7300034,107.3399963,109.0100021,109.0100021,41040000
5/23/1980,0,111.3700027,109.0100021,110.6200027,110.6200027,45790000
5/27/1980,0,112.3000031,110.3499985,111.4000015,111.4000015,40810000
5/28/1980,0,112.7200012,110.4199982,112.0599976,112.0599976,38580000
5/29/1980,0,112.6399994,109.8600006,110.2699966,110.2699966,42000000
5/30/1980,0,111.5500031,108.8700027,111.2399979,111.2399979,34820000
6/2/1980,0,112.1500015,110.0599976,110.7600021,110.7600021,32710000
6/3/1980,0,111.6299973,109.7699966,110.5100021,110.5100021,33150000
6/4/1980,0,113.4499969,110.2200012,112.6100006,112.6100006,44180000
6/5/1980,0,114.3799973,111.8899994,112.7799988,112.7799988,49070000
6/6/1980,0,114.0100021,112.1100006,113.1999969,113.1999969,37230000
6/9/1980,0,114.5100021,112.6800003,113.7099991,113.7099991,36820000
6/10/1980,0,115.5,113.1699982,114.6600037,114.6600037,42030000
6/11/1980,0,116.6399994,114.2200012,116.0199966,116.0199966,43800000
6/12/1980,0,117.0100021,114.2799988,115.5199966,115.5199966,47300000
6/13/1980,0,116.9400024,114.6699982,115.8099976,115.8099976,41880000
6/16/1980,0,116.8000031,114.7799988,116.0899963,116.0899963,36190000
6/17/1980,0,117.1600037,115.1299973,116.0299988,116.0299988,41990000
6/18/1980,0,116.8399963,114.7699966,116.2600021,116.2600021,41960000
6/19/1980,0,116.8099976,114.3600006,114.6600037,114.6600037,38280000
6/20/1980,0,114.9000015,113.1200027,114.0599976,114.0599976,36530000
6/23/1980,0,115.2799988,113.3499985,114.5100021,114.5100021,34180000
6/24/1980,0,115.75,113.7600021,115.1399994,115.1399994,37730000
6/25/1980,0,117.3700027,115.0699997,116.7200012,116.7200012,46500000
6/26/1980,0,117.9800034,115.5800018,116.1900024,116.1900024,45110000
6/27/1980,0,116.9300003,115.0599976,116,116,33110000
6/30/1980,0,116.0400009,113.5500031,114.2399979,114.2399979,29910000
7/1/1980,0,115.4499969,113.5400009,114.9300003,114.9300003,34340000
7/2/1980,0,116.4400024,114.3600006,115.6800003,115.6800003,42950000
7/3/1980,0,117.8000031,115.4899979,117.4599991,117.4599991,47230000
7/7/1980,0,118.8499985,116.9599991,118.2900009,118.2900009,42540000
7/8/1980,0,119.1100006,117.0699997,117.8399963,117.8399963,45830000
7/9/1980,0,119.5199966,117.0999985,117.9800034,117.9800034,52010000
7/10/1980,0,118.5699997,116.3799973,116.9499969,116.9499969,43730000
7/11/1980,0,118.3799973,116.2900009,117.8399963,117.8399963,38310000
7/14/1980,0,120.3700027,117.4499969,120.0100021,120.0100021,45500000
7/15/1980,0,121.5599976,118.8499985,119.3000031,119.3000031,60920000
7/16/1980,0,120.8700027,118.5400009,119.6299973,119.6299973,49140000
7/17/1980,0,121.8399963,119.4300003,121.4400024,121.4400024,48850000
7/18/1980,0,123.1900024,120.8799973,122.0400009,122.0400009,58040000
7/21/1980,0,123.1500015,120.8499985,122.5100021,122.5100021,42750000
7/22/1980,0,123.9000015,121.3799973,122.1900024,122.1900024,52230000
7/23/1980,0,123.2600021,120.9300003,121.9300003,121.9300003,45890000
7/24/1980,0,122.9800034,120.8300018,121.7900009,121.7900009,42420000
7/25/1980,0,121.9599991,119.9400024,120.7799988,120.7799988,36250000
7/28/1980,0,122.0199966,119.7799988,121.4300003,121.4300003,35330000
7/29/1980,0,122.9899979,120.7600021,122.4000015,122.4000015,44840000
7/30/1980,0,123.9300003,121.1600037,122.2300034,122.2300034,58060000
7/31/1980,0,122.3399963,119.4000015,121.6699982,121.6699982,54610000
8/1/1980,0,122.3799973,120.0800018,121.2099991,121.2099991,46440000
8/4/1980,0,121.6299973,119.4199982,120.9800034,120.9800034,41550000
8/5/1980,0,122.0899963,119.9599991,120.7399979,120.7399979,45510000
8/6/1980,0,122.0100021,119.9400024,121.5500031,121.5500031,45050000
8/7/1980,0,123.8399963,121.6600037,123.3000031,123.3000031,61820000
8/8/1980,0,125.2300034,122.8199997,123.6100006,123.6100006,58860000
8/11/1980,0,125.3099976,122.8499985,124.7799988,124.7799988,44690000
8/12/1980,0,125.7799988,123.2900009,123.7900009,123.7900009,52050000
8/13/1980,0,124.6699982,122.4899979,123.2799988,123.2799988,44350000
8/14/1980,0,125.6200027,122.6800003,125.25,125.25,47700000
8/15/1980,0,126.6100006,124.5699997,125.7200012,125.7200012,47780000
8/18/1980,0,125.2799988,122.8199997,123.3899994,123.3899994,41890000
8/19/1980,0,124,121.9700012,122.5999985,122.5999985,41930000
8/20/1980,0,124.2699966,121.9100037,123.7699966,123.7699966,42560000
8/21/1980,0,125.9899979,123.6100006,125.4599991,125.4599991,50770000
8/22/1980,0,127.7799988,125.1800003,126.0199966,126.0199966,58210000
8/25/1980,0,126.2799988,124.6500015,125.1600037,125.1600037,35400000
8/26/1980,0,126.2900009,124.0100021,124.8399963,124.8399963,41700000
8/27/1980,0,124.9800034,122.9300003,123.5199966,123.5199966,44000000
8/28/1980,0,123.9100037,121.6100006,122.0800018,122.0800018,39890000
8/29/1980,0,123.0100021,121.0599976,122.3799973,122.3799973,33510000
9/2/1980,0,124.3600006,121.7900009,123.7399979,123.7399979,35290000
9/3/1980,0,126.4300003,123.8700027,126.1200027,126.1200027,52370000
9/4/1980,0,127.6999969,124.4199982,125.4199982,125.4199982,59030000
9/5/1980,0,126.1200027,124.0800018,124.8799973,124.8799973,37990000
9/8/1980,0,125.6699982,122.7799988,123.3099976,123.3099976,42050000
9/9/1980,0,124.5199966,121.9400024,124.0699997,124.0699997,44460000
9/10/1980,0,125.9499969,123.5999985,124.8099976,124.8099976,51430000
9/11/1980,0,126.4800034,124.1900024,125.6600037,125.6600037,44770000
9/12/1980,0,126.75,124.7200012,125.5400009,125.5400009,47180000
9/15/1980,0,126.3499985,124.0899963,125.6699982,125.6699982,44630000
9/16/1980,0,127.7799988,125.1500015,126.7399979,126.7399979,57290000
9/17/1980,0,129.6799927,126.3700027,128.8699951,128.8699951,63990000
9/18/1980,0,130.3800049,127.6299973,128.3999939,128.3999939,63390000
9/19/1980,0,130.3300018,127.5699997,129.25,129.25,53780000
9/22/1980,0,130.9900055,127.8899994,130.3999939,130.3999939,53140000
9/23/1980,0,132.1699982,128.5500031,129.4299927,129.4299927,64390000
9/24/1980,0,131.3399963,128.4499969,130.3699951,130.3699951,56860000
9/25/1980,0,131.5299988,128.1300049,128.7200012,128.7200012,49510000
9/26/1980,0,128.1699982,125.2900009,126.3499985,126.3499985,49460000
9/29/1980,0,125.4100037,122.8700027,123.5400009,123.5400009,46410000
9/30/1980,0,126.0899963,123.5400009,125.4599991,125.4599991,40290000
10/1/1980,0,127.8799973,124.6600037,127.1299973,127.1299973,48720000
10/2/1980,0,128.8200073,126.0400009,128.0899963,128.0899963,46160000
10/3/1980,0,130.4400024,127.6500015,129.3300018,129.3300018,47510000
10/6/1980,0,132.3800049,129.3500061,131.7299957,131.7299957,50130000
10/7/1980,0,132.8800049,130.1000061,131,131,50310000
10/8/1980,0,132.7799988,130.2799988,131.6499939,131.6499939,46580000
10/9/1980,0,132.6499939,130.25,131.0399933,131.0399933,43980000
10/10/1980,0,132.1499939,129.5800018,130.2899933,130.2899933,44040000
10/13/1980,0,132.4600067,129.3699951,132.0299988,132.0299988,31360000
10/14/1980,0,133.5700073,131.1600037,132.0200043,132.0200043,48830000
10/15/1980,0,134.3500061,131.5899963,133.6999969,133.6999969,48260000
10/16/1980,0,135.8800049,131.6399994,132.2200012,132.2200012,65450000
10/17/1980,0,133.0700073,130.2200012,131.5200043,131.5200043,43920000
10/20/1980,0,133.2100067,130.0399933,132.6100006,132.6100006,40910000
10/21/1980,0,134.0099945,130.7799988,131.8399963,131.8399963,51220000
10/22/1980,0,132.9700012,130.6199951,131.9199982,131.9199982,43060000
10/23/1980,0,132.5399933,128.8699951,129.5299988,129.5299988,49200000
10/24/1980,0,130.5500031,128.0399933,129.8500061,129.8500061,41050000
10/27/1980,0,129.9400024,127.3399963,127.8799973,127.8799973,34430000
10/28/1980,0,128.8600006,126.3600006,128.0500031,128.0500031,40300000
10/29/1980,0,129.9100037,127.0699997,127.9100037,127.9100037,37200000
10/30/1980,0,128.7100067,125.7799988,126.2900009,126.2900009,39060000
10/31/1980,0,128.2400055,125.2900009,127.4700012,127.4700012,40110000
11/3/1980,0,129.8500061,127.2300034,129.0399933,129.0399933,35820000
11/5/1980,0,135.6499939,130.7700043,131.3300018,131.3300018,84080000
11/6/1980,0,131.3000031,128.2299957,128.9100037,128.9100037,48890000
11/7/1980,0,130.0800018,127.7399979,129.1799927,129.1799927,40070000
11/10/1980,0,130.5099945,128.1900024,129.4799957,129.4799957,35720000
11/11/1980,0,132.3000031,129.4799957,131.2599945,131.2599945,41520000
11/12/1980,0,135.1199951,131.3300018,134.5899963,134.5899963,58500000
11/13/1980,0,137.2100067,134.1199951,136.4900055,136.4900055,69340000
11/14/1980,0,138.9600067,135.1199951,137.1499939,137.1499939,71630000
11/17/1980,0,138.4600067,134.8999939,137.75,137.75,50260000
11/18/1980,0,140.9199982,137.9100037,139.6999969,139.6999969,70380000
11/19/1980,0,141.7599945,138.0599976,139.0599976,139.0599976,69230000
11/20/1980,0,141.2400055,137.7899933,140.3999939,140.3999939,60180000
11/21/1980,0,141.2400055,138.1000061,139.1100006,139.1100006,55950000
11/24/1980,0,139.3600006,136.3600006,138.3099976,138.3099976,51120000
11/25/1980,0,140.8300018,137.4199982,139.3300018,139.3300018,55840000
11/26/1980,0,141.9600067,138.6000061,140.1699982,140.1699982,55340000
11/28/1980,0,141.5399933,139,140.5200043,140.5200043,34240000
12/1/1980,0,140.6600037,136.75,137.2100067,137.2100067,48180000
12/2/1980,0,138.1100006,134.3699951,136.9700012,136.9700012,52340000
12/3/1980,0,138.0899963,135.4299927,136.7100067,136.7100067,43430000
12/4/1980,0,138.3999939,135.0899963,136.4799957,136.4799957,51170000
12/5/1980,0,136.3699951,132.9100037,134.0299988,134.0299988,51990000
12/8/1980,0,133.1900024,129.7100067,130.6100006,130.6100006,53390000
12/9/1980,0,131.9199982,128.7700043,130.4799957,130.4799957,53220000
12/10/1980,0,131.9900055,127.9400024,128.2599945,128.2599945,49860000
12/11/1980,0,128.7299957,125.3199997,127.3600006,127.3600006,60220000
12/12/1980,0,129.9799957,127.1500015,129.2299957,129.2299957,39530000
12/15/1980,0,131.3300018,128.6399994,129.4499969,129.4499969,39700000
12/16/1980,0,131.2200012,128.3300018,130.6000061,130.6000061,41630000
12/17/1980,0,133.5899963,130.2200012,132.8899994,132.8899994,50800000
12/18/1980,0,135.8999939,131.8899994,133,133,69570000
12/19/1980,0,134,131.8000031,133.6999969,133.6999969,50770000
12/22/1980,0,136.6799927,132.8800049,135.7799988,135.7799988,51950000
12/23/1980,0,137.4799957,134.0099945,135.3000031,135.3000031,55260000
12/24/1980,0,136.5500031,134.1499939,135.8800049,135.8800049,29490000
12/26/1980,0,137.0200043,135.1999969,136.5700073,136.5700073,16130000
12/29/1980,0,137.5099945,134.3600006,135.0299988,135.0299988,36060000
12/30/1980,0,136.5099945,134.0399933,135.3300018,135.3300018,39750000
12/31/1980,0,136.7599945,134.2899933,135.7599945,135.7599945,41210000
1/2/1981,0,137.1000061,134.6100006,136.3399963,136.3399963,28870000
1/5/1981,0,139.2400055,135.8600006,137.9700012,137.9700012,58710000
1/6/1981,0,140.3200073,135.7799988,138.1199951,138.1199951,67400000
1/7/1981,0,136.0200043,132.3000031,135.0800018,135.0800018,92890000
1/8/1981,0,136.1000061,131.9600067,133.0599976,133.0599976,55350000
1/9/1981,0,134.7599945,131.7100067,133.4799957,133.4799957,50190000
1/12/1981,0,135.8800049,132.7899933,133.5200043,133.5200043,48760000
1/13/1981,0,134.2700043,131.6900024,133.2899933,133.2899933,40890000
1/14/1981,0,135.25,132.6499939,133.4700012,133.4700012,41390000
1/15/1981,0,135.1499939,132.4400024,134.2200012,134.2200012,39640000
1/16/1981,0,135.9100037,133.3500061,134.7700043,134.7700043,43260000
1/19/1981,0,135.8600006,133.5099945,134.3699951,134.3699951,36470000
1/20/1981,0,135.3000031,131.2599945,131.6499939,131.6499939,41750000
1/21/1981,0,132.4799957,129.9299927,131.3600006,131.3600006,39190000
1/22/1981,0,132.0800018,129.2299957,130.2599945,130.2599945,39880000
1/23/1981,0,131.3399963,129,130.2299957,130.2299957,37220000
1/26/1981,0,131.1799927,128.5700073,129.8399963,129.8399963,35380000
1/27/1981,0,131.9499969,129.3200073,131.1199951,131.1199951,42260000
1/28/1981,0,132.4100037,129.8200073,130.3399963,130.3399963,36690000
1/29/1981,0,131.7799988,128.9700012,130.2400055,130.2400055,38170000
1/30/1981,0,131.6499939,128.6100006,129.5500031,129.5500031,41160000
2/2/1981,0,129.4799957,125.8199997,126.9100037,126.9100037,44070000
2/3/1981,0,128.9199982,125.8899994,128.4600067,128.4600067,45950000
2/4/1981,0,129.7100067,127.2900009,128.5899963,128.5899963,45520000
2/5/1981,0,130.4900055,127.9899979,129.6300049,129.6300049,45320000
2/6/1981,0,131.8099976,129.0299988,130.6000061,130.6000061,45820000
2/9/1981,0,131.3899994,128.6100006,129.2700043,129.2700043,38330000
2/10/1981,0,130.1900024,128.0500031,129.2400055,129.2400055,40820000
2/11/1981,0,129.9199982,127.5999985,128.2400055,128.2400055,37770000
2/12/1981,0,128.9499969,126.7799988,127.4800034,127.4800034,34700000
2/13/1981,0,128.3399963,126.0400009,126.9800034,126.9800034,33360000
2/17/1981,0,128.75,126.4300003,127.8099976,127.8099976,37940000
2/18/1981,0,129.25,127.0899963,128.4799957,128.4799957,40410000
2/19/1981,0,129.0700073,125.9800034,126.6100006,126.6100006,41630000
2/20/1981,0,127.6500015,124.6600037,126.5800018,126.5800018,41900000
2/23/1981,0,128.2799988,125.6900024,127.3499985,127.3499985,39590000
2/24/1981,0,128.7599945,126.4899979,127.3899994,127.3899994,43960000
2/25/1981,0,129.2100067,125.7699966,128.5200043,128.5200043,45710000
2/26/1981,0,130.9299927,128.0200043,130.1000061,130.1000061,60300000
2/27/1981,0,132.0200043,129.3500061,131.2700043,131.2700043,53210000
3/2/1981,0,132.9600067,130.1499939,132.0099945,132.0099945,47710000
3/3/1981,0,132.7200012,129.6600037,130.5599976,130.5599976,48730000
3/4/1981,0,132.0700073,129.5700073,130.8600006,130.8600006,47260000
3/5/1981,0,131.8200073,129.25,129.9299927,129.9299927,45380000
3/6/1981,0,131.1799927,128.5599976,129.8500061,129.8500061,43940000
3/9/1981,0,131.9400024,129.3899994,131.1199951,131.1199951,46180000
3/10/1981,0,132.6399994,129.7200012,130.4600067,130.4600067,56610000
3/11/1981,0,131.1999969,128.7200012,129.9499969,129.9499969,47390000
3/12/1981,0,133.5599976,129.7599945,133.1900024,133.1900024,54640000
3/13/1981,0,135.5299988,132.3899994,133.1100006,133.1100006,68290000
3/16/1981,0,135.3500061,132.1000061,134.6799927,134.6799927,49940000
3/17/1981,0,136.0899963,132.8000031,133.9199982,133.9199982,65920000
3/18/1981,0,135.6600037,132.8000031,134.2200012,134.2200012,55740000
3/19/1981,0,135.3699951,132.3699951,133.4600067,133.4600067,62440000
3/20/1981,0,135.2899933,132.5,134.0800018,134.0800018,61980000
3/23/1981,0,136.5,133.4100037,135.6900024,135.6900024,57880000
3/24/1981,0,137.3999939,134.1000061,134.6699982,134.6699982,66400000
3/25/1981,0,137.3200073,133.9199982,137.1100006,137.1100006,56320000
3/26/1981,0,138.3800049,135.2899933,136.2700043,136.2700043,60370000
3/27/1981,0,136.8899994,133.9100037,134.6499939,134.6499939,46930000
3/30/1981,0,135.8699951,133.5099945,134.2799988,134.2799988,33500000
3/31/1981,0,137.1499939,134.6799927,136,136,50980000
4/1/1981,0,137.5599976,135.0399933,136.5700073,136.5700073,54880000
4/2/1981,0,137.7200012,135.1600037,136.3200073,136.3200073,52570000
4/3/1981,0,137.0399933,134.6699982,135.4900055,135.4900055,48680000
4/6/1981,0,135.6100006,132.9100037,133.9299927,133.9299927,43190000
4/7/1981,0,135.2700043,132.9600067,133.9100037,133.9100037,44540000
4/8/1981,0,135.3399963,133.2599945,134.3099976,134.3099976,48000000
4/9/1981,0,135.8000031,132.5899963,134.6699982,134.6699982,59520000
4/10/1981,0,136.2299957,133.1799927,134.5099945,134.5099945,58130000
4/13/1981,0,134.9100037,132.2400055,133.1499939,133.1499939,49860000
4/14/1981,0,134.0299988,131.5800018,132.6799927,132.6799927,48350000
4/15/1981,0,134.7899933,132.1999969,134.1699982,134.1699982,56040000
4/16/1981,0,135.8200073,133.4299927,134.6999969,134.6999969,52950000
4/20/1981,0,136.25,133.1900024,135.4499969,135.4499969,51020000
4/21/1981,0,136.3800049,133.4900055,134.2299957,134.2299957,60280000
4/22/1981,0,135.5399933,132.7200012,134.1399994,134.1399994,60660000
4/23/1981,0,135.8999939,132.8999939,133.9400024,133.9400024,64200000
4/24/1981,0,136,132.8800049,135.1399994,135.1399994,60000000
4/27/1981,0,136.5599976,134.1300049,135.4799957,135.4799957,51080000
4/28/1981,0,136.0899963,133.1000061,134.3300018,134.3300018,58210000
4/29/1981,0,134.6900024,131.8200073,133.0500031,133.0500031,53340000
4/30/1981,0,134.4400024,131.8500061,132.8099976,132.8099976,47970000
5/1/1981,0,134.1699982,131.4299927,132.7200012,132.7200012,48360000
5/4/1981,0,131.7799988,129.6100006,130.6699982,130.6699982,40430000
5/5/1981,0,131.3300018,128.9299927,130.3200073,130.3200073,49000000
5/6/1981,0,132.3800049,130.0899963,130.7799988,130.7799988,47100000
5/7/1981,0,132.4100037,130.2100067,131.6699982,131.6699982,42590000
5/8/1981,0,132.6900024,130.8399963,131.6600037,131.6600037,41860000
5/11/1981,0,132.2299957,129.1100006,129.7100067,129.7100067,37640000
5/12/1981,0,131.1699982,128.7799988,130.7200012,130.7200012,40440000
5/13/1981,0,131.9600067,129.5299988,130.5500031,130.5500031,42600000
5/14/1981,0,132.1499939,129.9100037,131.2799988,131.2799988,42750000
5/15/1981,0,133.2100067,130.75,132.1699982,132.1699982,45460000
5/18/1981,0,133.6499939,131.4900055,132.5399933,132.5399933,42510000
5/19/1981,0,133.2200012,130.7799988,132.0899963,132.0899963,42220000
5/20/1981,0,133.0299988,130.5899963,132,132,42370000
5/21/1981,0,133.0299988,130.6999969,131.75,131.75,46820000
5/22/1981,0,132.6499939,130.4199982,131.3300018,131.3300018,40710000
5/26/1981,0,133.3000031,130.6399994,132.7700043,132.7700043,42760000
5/27/1981,0,134.6499939,131.8500061,133.7700043,133.7700043,58730000
5/28/1981,0,134.9199982,132,133.4499969,133.4499969,59500000
5/29/1981,0,134.3600006,131.5200043,132.5899963,132.5899963,51580000
6/1/1981,0,134.6199951,131.4900055,132.4100037,132.4100037,62170000
6/2/1981,0,132.9600067,129.8399963,130.6199951,130.6199951,53930000
6/3/1981,0,131.3699951,128.7700043,130.7100067,130.7100067,54700000
6/4/1981,0,132.2100067,129.7200012,130.9600067,130.9600067,48940000
6/5/1981,0,132.9799957,130.1699982,132.2200012,132.2200012,47180000
6/8/1981,0,133.6799927,131.2899933,132.2400055,132.2400055,41580000
6/9/1981,0,133.3000031,130.9400024,131.9700012,131.9700012,44600000
6/10/1981,0,133.4900055,131.0399933,132.3200073,132.3200073,53200000
6/11/1981,0,134.3099976,131.5800018,133.75,133.75,59530000
6/12/1981,0,135.0899963,132.3999939,133.4900055,133.4900055,60790000
6/15/1981,0,135.6699982,132.7799988,133.6100006,133.6100006,63350000
6/16/1981,0,134,131.2899933,132.1499939,132.1499939,57780000
6/17/1981,0,133.9799957,130.8099976,133.3200073,133.3200073,55470000
6/18/1981,0,133.9799957,130.9400024,131.6399994,131.6399994,48400000
6/19/1981,0,133.2700043,130.4900055,132.2700043,132.2700043,46430000
6/22/1981,0,133.5399933,131.1000061,131.9499969,131.9499969,41790000
6/23/1981,0,133.9799957,131.1600037,133.3500061,133.3500061,51840000
6/24/1981,0,133.8999939,131.6499939,132.6600037,132.6600037,46650000
6/25/1981,0,134.3000031,131.7799988,132.8099976,132.8099976,43920000
6/26/1981,0,133.75,131.7100067,132.5599976,132.5599976,39240000
6/29/1981,0,133.5,131.1999969,131.8899994,131.8899994,37930000
